Provinsi/Kabupaten/Kota,,,
,Indeks Pembangunan Gender (IPG),,
Intan Jaya,72.81,73.26,-
Deiyai,70.68,70.95,-
Kota Jayapura,94.79,94.74,94.72
PAPUA SELATAN,-,-,83.76
Merauke,-,-,89.83
Boven Digoel,-,-,80.79
Mappi,-,-,85.91
Asmat,-,-,58.04
PAPUA TENGAH,-,-,81.41
Mimika,-,-,78.38
Dogiyai,-,-,82.19
Deiyai,-,-,72.05
Nabire,-,-,91.48
Paniai,-,-,70.36
Intan Jaya,-,-,73.67
Puncak,-,-,86.98
Puncak Jaya,-,-,69.64
PAPUA PEGUNUNGAN,-,-,87.25
Nduga,-,-,90.84
Jayawijaya,-,-,86.08
Lanny Jaya,-,-,94.41
Tolikara,-,-,63.77
Mamberamo Tengah,-,-,90.21
Yalimo,-,-,86.44
Yahukimo,-,-,76.67
Pegunungan Bintang,-,-,82.99
INDONESIA,91.63,91.85,91.85
